common_name,year,pct
American Crow,2024,4
American Robin,2024,26
Black-capped Chickadee,2024,6
Carolina Wren,2024,15
Chipping Sparrow,2024,15
Great Crested Flycatcher,2024,6
Northern Cardinal,2024,7
American Robin,2025,34
Black-capped Chickadee,2025,3
Carolina Wren,2025,13
Chipping Sparrow,2025,12
Great Crested Flycatcher,2025,2
Northern Cardinal,2025,7
Carolina Wren,2026,26
American Robin,2026,17
Northern Cardinal,2026,8
American Crow,2026,6
Great Crested Flycatcher,2026,5
Black-capped Chickadee,2026,2
Chipping Sparrow,2026,2
